"state","party","gender","nameid","icpsr.id","govtrack.id","cspan.id","thomas.id","class","next.election","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"MO","R","M","B000575","29735","400034","45465","1464", , ,10,0.954551075545199,0.818082054994828,1.0979204895273,"Blunt (R-MO)",85,"Roy","Blunt"
"KS","R","M","M000934","29722","400284","45469","1507", , ,10,0.962964642106168,0.814014238610016,1.11923042095686,"Moran (R-KS)",86,"Jerry","Moran"
"AR","R","M","B001236","20101","400040","92069","1687", , ,2,0.975288206255999,0.846221495132019,1.14327904520223,"Boozman (R-AR)",87,"John","Boozman"
"OK","R","M","L000575","21166","412464","1033847","2050", , ,0,0.979843784827029,0.843807995305526,1.14150182072421,"Lankford (R-OK)",88,"James","Lankford"
"TX","R","M","C001098","41304","412573","1019953","2175", , ,56,0.981696722618877,0.842007525492269,1.14480392107205,"Cruz (R-TX)",89,"Ted","Cruz"
"SC","R","M","S001184","21173","412471","623506","2056", , ,7,0.999439553734447,0.849652726087684,1.15028184390309,"Scott (R-SC)",90,"Tim","Scott"
"OK","R","M","I000024","15424","300055","5619","583", , ,3,1.02168012813945,0.875494011552077,1.19342754787991,"Inhofe (R-OK)",91,"James","Inhofe"
"AL","R","M","S001141","49700","300088","44441","1548", , ,4,1.03039818901091,0.892121685002357,1.18170560119154,"Sessions (R-AL)",92,"Jeff","Sessions"
"FL","R","M","R000595","41102","412491","87599","2084", , ,98,1.04730851192383,0.825039905055081,1.22635393196158,"Rubio (R-FL)",93,"Marco","Rubio"
"AR","R","M","C001095","21301","412508","63928","2098", , ,2,1.05030388169932,0.907344064137237,1.22551418026337,"Cotton (R-AR)",94,"Tom","Cotton"
"UT","R","M","L000577","41110","412495","9267977","2080", , ,19,1.05147158763102,0.909503395079242,1.21451999484724,"Lee (R-UT)",95,"Mike","Lee"
"AL","R","M","S000320","94659","300089","1859","1049", , ,7,1.09412293218614,0.943098269678871,1.28909518521732,"Shelby (R-AL)",96,"Richard","Shelby"
"ID","R","M","C000880","29345","300030","26440","250", , ,5,1.13007706088517,0.941880609499451,1.31851863717499,"Crapo (R-ID)",97,"Michael","Crapo"
"LA","R","M","V000127","29918","400418","60672","1609", , ,42,1.15605834901256,0.968587528471645,1.35782416877412,"Vitter (R-LA)",98,"David","Vitter"
"ID","R","M","R000584","40902","412322","1020034","1896", , ,1,1.15940488086651,0.964445157544213,1.33981451820222,"Risch (R-ID)",99,"Jim","Risch"
"NE","R","M","S001197","","","","2289", , ,2,1.19771264922363,0.996739735687129,1.38643858627266,"Sasse (R-NE)",100,"Ben","Sasse"
