"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"NC","3","R","M","J000255","29546",27,0.240817287009143,0.161870601120159,0.315102275928425,"Jones (R NC-3)",192,"Walter","Jones"
"NY","22","R","M","H001051","21157",25,0.270101122527081,0.192544928955698,0.34615396966596,"Hanna (R NY-22)",193,"Richard","Hanna"
"FL","26","R","M","C001107","",21,0.284791657006226,0.211218501880544,0.36478553836024,"Curbelo (R FL-26)",194,"Carlos","Curbelo"
"NJ","2","R","M","L000554","29539",5,0.302099473090845,0.223041984089042,0.378278378640771,"LoBiondo (R NJ-2)",195,"Frank","LoBiondo"
"NY","24","R","M","K000386","",11,0.306850522615895,0.223577012357604,0.379541390074975,"Katko (R NY-24)",196,"John","Katko"
"PA","8","R","M","F000451","20524",23,0.312932572942032,0.230909867672045,0.390631414249635,"Fitzpatrick (R PA-8)",197,"Michael","Fitzpatrick"
"FL","27","R","F","R000435","15634",12,0.328109584139457,0.252004996598404,0.411305227486251,"Ros-Lehtinen (R FL-27)",198,"Ileana","Ros-Lehtinen"
"NY","21","R","F","S001196","",6,0.363816574952801,0.285994383652208,0.447764358185043,"Stefanik (R NY-21)",199,"Elise","Stefanik"
"PA","6","R","M","C001106","",12,0.367895083067509,0.281341370493409,0.449948881736055,"Costello (R PA-6)",200,"Ryan","Costello"
"NY","11","R","M","D000625","",247,0.375597471267335,0.282832499117599,0.469614076732657,"Donovan (R NY-11)",201,"Daniel","Donovan"
"NY","2","R","M","K000210","29375",12,0.38527406981429,0.304915656963318,0.471768829577653,"King (R NY-2)",202,"Peter","King"
"PA","15","R","M","D000604","20526",5,0.385472989206443,0.298731919593464,0.464337204649023,"Dent (R PA-15)",203,"Charlie","Dent"
"WA","8","R","M","R000578","20536",24,0.388935514988604,0.304153039353048,0.471905959773652,"Reichert (R WA-8)",204,"Dave","Reichert"
"NJ","3","R","M","M001193","",5,0.408008965923967,0.323124823149643,0.490014293685243,"MacArthur (R NJ-3)",205,"Tom","MacArthur"
"FL","13","R","M","J000296","",16,0.41113253125792,0.326255545291634,0.494131480499303,"Jolly (R FL-13)",206,"David","Jolly"
"PA","7","R","M","M001181","21168",8,0.415251281749822,0.325111682830576,0.497025059351927,"Meehan (R PA-7)",207,"Pat","Meehan"
"CA","10","R","M","D000612","21109",11,0.429172887321224,0.342262824941376,0.513102654328452,"Denham (R CA-10)",208,"Jeffrey","Denham"
